"ONDERWIJSBESTUURID","ONDERWIJSBESTUUR_NAAM","ONDERWIJSAANBIEDERID","ONDERWIJSAANBIEDER_NAAM","SOORT","OPLEIDINGSEENHEIDCODE","ERKENDEOPLEIDINGSCODE","VARIANT_VAN","ERKENNER","NAAM_LANG","INTERNATIONALE_NAAM","BEGINDATUM","EINDDATUM","NIVEAU","GRAAD","STUDIELAST","EQF","ISCED","NLQF","WAARDEDOCUMENTSOORT","PENVOERDER","EIGENNAAM","EIGENNAAM_DUITS","EIGENNAAM_ENGELS","VORM","VOERTAAL","AANGEBODEN_OPLEIDING_BEGINDATUM","AANGEBODEN_OPLEIDING_EINDDATUM","EERSTE_INSTROOMDATUM","LAATSTE_INSTROOMDATUM","WEBSITE","SAMENWERKEND_MET","BUITENLANDSEPARTNER","DEFICIENTIE","EISEN_WERKZAAMHEDEN","PROPEDEUTISCHE_FASE","STUDIEKEUZECHECK","VERSNELD_TRAJECT","AANGEBODEN_OPLEIDINGCODE","EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL","ONDERWIJSLOCATIECODE","ONDERWIJSLOCATIESTRAAT","ONDERWIJSLOCATIEPLAATS","OMSCHRIJVING"
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3331","34396",,"NVAO","Chemie","Chemistry",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2023-02-01,,2023-02-01,,"https://hz.nl/opleidingen/chemie",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK","VERSNELD_TRAJECT","eaaf544c-0101-4d91-813d-1a357b95b435",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3419","34402",,"NVAO","Commerciële Economie","Marketing Management",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","B Commerciële Economie",,"B Marketing Management","VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/commerciele-economie",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"eb9839d8-b692-4e7e-9529-0c1ea21661f2",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3497","34405",,"NVAO","Communicatie","Communication",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","B Communicatie",,"B Communication","VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/communicatie",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"b7edb79c-e59c-464d-a92d-d9f1bf1f7b43",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3662","34421",,"NVAO","Technische Bedrijfskunde","Industrial Engineering & Management",2015-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2017-09-01,,2017-09-01,,"https://hz.nl/opleidingen/technische-bedrijfskunde-deeltijd-associate-degree",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"97ea01b4-a718-4eaf-a111-788cfe06577f",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O3662","34421",,"NVAO","Technische Bedrijfskunde","Industrial Engineering & Management",2015-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","ENG",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/technische-bedrijfskunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"cad2989c-b138-48ef-9707-60855bdfb2a5",,"113X626","Het Groene Woud","Middelburg",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O4004","34560",,"NVAO","Opleiding tot Verpleegkundige","Nursing",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences","Verpleegkunde & Vroedkunde (Verloskunde)",,,"VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/verpleegkunde-vroedkunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"8f67cf16-2cb6-4dc7-91ba-2918ef0403e6",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O4004","34560",,"NVAO","Opleiding tot Verpleegkundige","Nursing",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2018-09-01,,2018-09-01,,"https://hz.nl/opleidingen/verpleegkunde-hbo-v-deeltijd",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"3504280b-e979-4a56-934c-9b6ce0dbbec2",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O4004","34560",,"NVAO","Opleiding tot Verpleegkundige","Nursing",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DUAAL","NLD",2019-09-01,,2019-09-01,,"https://hz.nl/opleidingen/verpleegkunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"c206cbd0-c519-4316-abe6-710ff810ef40",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O4004","34560",,"NVAO","Opleiding tot Verpleegkundige","Nursing",2002-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"VOLTIJD","NLD",2002-09-01,,2002-09-01,,"https://hz.nl/opleidingen/verpleegkunde",,,,,"PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"fe03064e-3857-4fdf-9d84-58201d36c9a6",,"113X655","Edisonweg","Vlissingen",
"100B349","Stichting HZ University of Appl. Scienc.","113A881","HZ University of Applied Sciences","OPLEIDING","1001O4121","34609",,"NVAO","Human Resource Management","Human Resource Management",2005-09-01,,"HBO-BA","BACHELOR",240,"6",,"6","GETUIGSCHRIFT","Stichting HZ University of Applied Sciences",,,,"DEELTIJD","NLD",2022-09-01,2029-09-01,2012-09-01,2024-09-01,"https://hz.nl/opleidingen/human-resource-management-deeltijd",,,,"EISEN","PROPEDEUTISCHE_FASE_EXAMEN","GEEN_STUDIEKEUZE_CHECK",,"dd3a3773-d5d0-4fac-a474-a92f4ea63612",,"113X655","Edisonweg","Vlissingen",
